id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Segment,Silhouette
384,46,Male,120914,1,1,41,Home & Garden,329.9,1,0.15109413489728638
385,38,Male,78829,73,7,20,Sports,665.25,3,0.010932403039664036
386,69,Male,105810,57,6,28,Groceries,985.94,2,0.11847857705616163
387,51,Female,105658,49,9,9,Electronics,785.55,2,0.0853538317696951
388,25,Female,100053,6,5,33,Electronics,832.57,0,0.11844564122621667
389,34,Other,118622,99,4,47,Sports,122.21,3,0.0303730163576439
390,37,Male,65343,89,3,2,Electronics,668.23,3,0.0990501472379064
391,67,Female,101759,57,3,19,Sports,670.51,0,0.010324298115373472
392,28,Male,59278,60,2,8,Home & Garden,362.41,3,0.11639679211327739
393,55,Female,127542,79,8,12,Clothing,632.6,2,0.20287530371419654
394,69,Female,74331,83,9,11,Clothing,341.63,3,0.12868119932902702
395,69,Female,119075,40,8,44,Home & Garden,866.72,2,0.18438110066733238
396,54,Other,87418,21,2,27,Groceries,846.76,0,0.2365492372244713
397,23,Other,37713,11,8,31,Electronics,481.24,0,0.07614410243074268
398,48,Male,36282,14,10,3,Sports,210.43,3,0.02596901285662558
399,19,Female,69790,3,9,38,Groceries,596.63,0,0.05758271997099284
400,41,Female,147962,90,2,9,Clothing,688.61,2,0.10917326869478586
401,32,Other,86268,96,3,21,Electronics,643.36,3,0.050506212321858354
402,63,Male,149062,66,9,7,Clothing,441.11,2,0.04997209538204791
403,40,Other,127948,29,6,26,Groceries,144.78,1,0.2982737332092443
404,36,Male,30121,39,10,16,Groceries,233.08,3,0.15885494375899037
405,21,Male,42889,12,2,20,Home & Garden,789.92,0,0.24351953797642467
406,29,Other,141369,42,10,16,Home & Garden,862.54,2,0.16925025391338958
407,24,Other,119844,78,4,6,Groceries,572.31,2,0.017507042850775877
408,40,Other,135305,54,8,29,Clothing,831.6,2,0.296201571555455
409,63,Female,70967,59,6,10,Home & Garden,954.05,0,0.10545931126030796
410,20,Female,98213,12,5,37,Home & Garden,902.24,0,0.07929504858303023
411,43,Female,89856,96,3,2,Clothing,114.47,3,0.1269638141169222
412,61,Other,80988,34,8,14,Clothing,937.86,0,0.10615946993917716
413,19,Female,105731,9,7,10,Home & Garden,421.08,1,0.12644192784783714
414,69,Female,117737,6,4,9,Groceries,877.51,0,0.13567707994716846
415,57,Male,52164,53,3,36,Groceries,710.84,0,0.15766314042097102
416,38,Other,51327,62,5,24,Sports,645.43,3,0.025153473824174783
417,52,Other,101105,11,9,2,Home & Garden,714.72,0,0.07527530745830718
418,51,Female,97565,48,10,31,Clothing,656.9,2,0.18854759233576232
419,64,Other,71594,40,4,42,Clothing,487.73,0,0.09886529397640481
420,46,Male,60671,57,5,48,Home & Garden,817.69,0,0.01537918533410762
421,46,Female,90871,56,4,39,Clothing,592.97,2,0.0800746227663009
422,56,Other,36843,46,7,12,Home & Garden,22.15,3,0.1538595241820725
423,62,Female,96260,30,6,45,Electronics,159.13,1,0.15297038989938502
424,56,Male,134502,46,5,5,Groceries,394.49,1,0.13737558045486076
425,41,Male,67039,100,1,36,Electronics,178.68,3,0.2094125741738209
426,40,Other,142251,90,10,14,Electronics,866.52,2,0.26076332431822474
427,47,Female,49336,11,10,11,Sports,877.17,0,0.21376267460105983
428,54,Other,90780,24,3,46,Groceries,824.65,0,0.100128415951276
429,20,Male,49308,29,6,19,Electronics,351.64,3,0.04017832137268818
430,64,Other,124369,74,2,3,Home & Garden,275.4,1,0.08290792942214162
431,40,Male,99618,80,4,22,Groceries,15.04,3,0.042118640415552425
432,29,Female,133291,52,4,42,Clothing,916.28,2,0.2113467874274606
433,44,Female,100832,90,8,39,Electronics,769.0,2,0.25667591199219447
434,57,Male,60668,66,6,28,Electronics,984.6,0,0.046333046891716086
435,32,Female,69782,76,1,9,Home & Garden,803.28,0,0.04105785624425972
436,52,Other,136827,87,5,20,Sports,322.29,2,0.033219161382903005
437,48,Other,51565,44,5,20,Groceries,552.48,0,0.0825043833240128
438,47,Female,95033,25,3,35,Electronics,273.38,1,0.17447665772050033
439,63,Female,118402,74,3,12,Sports,828.04,2,0.09552512346823493
440,23,Female,130546,71,9,36,Sports,799.33,2,0.276140005257056
441,46,Male,68970,50,9,46,Clothing,392.35,3,0.03276211252078073
442,26,Female,84460,45,1,33,Clothing,219.67,1,0.07218298101478834
443,47,Other,138199,79,10,43,Electronics,171.38,2,0.07505527961777228
444,62,Other,59481,30,4,35,Clothing,121.0,1,0.023707772963874177
445,62,Female,75974,68,4,46,Groceries,180.09,3,0.0894545353547036
446,53,Male,56570,29,7,37,Electronics,432.65,0,0.06632316695520925
447,27,Other,68689,83,8,33,Groceries,782.58,2,0.037672138249567076
448,31,Female,46106,72,7,2,Sports,59.82,3,0.21618187772512654
449,50,Male,46524,1,4,7,Home & Garden,371.62,0,0.11138523665918243
450,48,Male,60382,13,3,27,Electronics,694.59,0,0.289835451797787
451,24,Other,147555,65,4,28,Groceries,434.84,1,0.00930168646163526
452,45,Female,93800,33,10,32,Sports,391.45,1,0.0237645862511937
453,30,Male,35565,83,8,17,Electronics,238.79,3,0.32646388667983123
454,27,Male,143992,31,2,32,Home & Garden,994.1,2,0.0692649258709489
455,28,Other,126571,82,10,8,Electronics,26.12,1,0.013303647008645707
456,61,Other,57851,46,3,5,Clothing,604.29,0,0.13397165485013737
457,30,Other,120083,47,1,49,Electronics,443.12,1,0.042667605191836995
458,62,Male,32827,69,8,2,Groceries,468.37,3,0.1172159872295492
459,30,Other,100399,96,2,5,Clothing,705.64,3,0.019015886855267377
460,55,Female,105647,94,1,14,Sports,737.91,2,0.07083452347758075
461,41,Male,141605,100,4,20,Home & Garden,693.02,2,0.22147097778079058
462,57,Female,46563,86,4,24,Electronics,800.46,3,0.011299645406891509
463,53,Male,37569,18,8,50,Clothing,634.92,0,0.1496878380160359
464,65,Female,138529,87,10,14,Sports,461.61,2,0.14858375751669425
465,54,Female,40858,48,6,20,Clothing,34.88,3,0.1639269387124743
466,69,Other,143640,14,8,2,Clothing,387.39,1,0.12535534870813017
467,25,Male,99668,1,1,50,Groceries,937.86,0,0.10893911278306137
468,54,Male,32276,73,2,44,Clothing,554.58,3,0.04854723108302194
469,32,Other,100736,84,10,32,Groceries,863.93,2,0.22894556429296134
470,53,Other,139508,92,6,39,Clothing,172.99,2,0.05369381505812113
471,32,Male,38683,59,10,47,Groceries,846.85,2,0.0197425087047496
472,35,Other,42390,27,3,41,Electronics,781.31,0,0.23999758671910384
473,53,Female,104435,42,4,34,Home & Garden,795.81,2,0.03609463638167658
474,54,Female,111261,56,1,44,Groceries,216.09,1,0.12059554578587836
475,36,Other,112674,12,7,35,Groceries,590.32,1,0.039462978038413976
476,38,Male,144083,23,1,28,Groceries,158.15,1,0.27649322484586497
477,42,Male,115342,19,4,47,Sports,13.69,1,0.2608923150990508
478,48,Other,143424,24,3,22,Home & Garden,594.94,1,0.08732648606773767
479,58,Female,137836,19,9,21,Electronics,172.39,1,0.19270276765158187
480,19,Female,35529,62,4,24,Clothing,177.69,3,0.21670253912714665
481,54,Male,105641,17,9,37,Sports,173.81,1,0.17681476481523709
482,65,Other,120542,52,3,36,Clothing,70.22,1,0.1783334800969756
483,44,Female,43069,55,6,33,Groceries,501.34,3,0.08965170030365033
484,40,Male,61052,44,4,17,Groceries,135.19,3,0.05917748751573023
485,65,Male,39113,85,9,42,Home & Garden,964.87,2,0.0603135800633978
486,66,Other,91672,71,5,9,Clothing,10.4,3,0.02064951394502991
487,22,Female,104781,64,8,38,Home & Garden,151.48,1,0.008470604156089474
488,47,Other,124597,67,9,8,Clothing,885.33,2,0.2045759477166193
489,26,Female,96845,19,1,5,Home & Garden,154.89,1,0.16986073731300086
490,19,Female,113254,38,5,35,Clothing,633.5,2,0.028921839113138142
491,22,Female,46900,70,1,24,Groceries,325.46,3,0.16693138785782893
492,39,Male,84725,100,8,49,Sports,906.07,2,0.19881666183442795
493,51,Female,120616,71,1,16,Clothing,542.03,1,-0.0069077224869332435
494,35,Male,141134,24,4,48,Sports,649.61,2,0.04565431291730515
495,59,Male,140809,45,5,45,Sports,917.5,2,0.22495822380069105
496,33,Female,65486,76,2,11,Sports,302.05,3,0.182299096161437
497,56,Male,145254,48,6,43,Sports,422.32,2,0.06394446930167146
498,54,Female,43308,56,5,50,Electronics,667.92,0,0.05274706549095959
499,25,Male,33065,61,7,40,Groceries,317.98,3,0.22449284415328463
500,47,Male,69168,16,7,42,Clothing,638.96,0,0.14512654985193654
501,42,Male,129999,73,5,2,Clothing,942.97,2,0.12932518504974988
502,61,Female,41730,2,9,20,Electronics,177.64,0,0.009815923812748432
503,22,Male,75626,52,7,34,Electronics,154.67,3,0.05946799834210002
504,18,Other,142641,40,7,31,Electronics,240.64,1,0.14792468437092252
505,22,Male,53863,96,10,41,Electronics,491.64,3,0.11668072576266729
506,66,Male,149505,79,4,8,Sports,334.95,1,0.02669005266985561
507,58,Male,132215,91,8,6,Sports,275.71,2,0.01988149729951391
508,48,Other,72108,85,8,13,Sports,486.58,3,0.1682567202541631
509,68,Other,113760,64,2,37,Sports,462.62,2,0.045934821535492325
510,19,Male,111238,7,2,30,Sports,813.37,0,0.07604270273427738
511,24,Other,109039,71,9,41,Sports,606.18,2,0.18313057811314704
512,33,Male,132968,49,10,45,Sports,641.53,2,0.2084272573376893
513,19,Male,82506,10,5,41,Sports,406.32,1,0.06335386535821964
514,69,Female,58668,40,2,15,Home & Garden,626.35,0,0.18641921353938806
515,28,Male,66961,8,10,22,Groceries,179.82,1,0.07999580791549124
516,32,Other,137280,95,6,3,Electronics,31.72,1,0.03018177542688347
517,18,Other,112021,9,3,11,Groceries,588.37,1,0.039734442514232984
518,45,Female,110280,85,4,21,Groceries,944.07,2,0.1989134158578157
519,45,Female,67753,64,4,48,Sports,926.69,2,0.01875751691058581
520,38,Male,54918,1,6,6,Electronics,979.26,0,0.29706620145003365
521,69,Other,78534,100,2,9,Home & Garden,75.03,3,0.12886776758968474
522,29,Female,51471,96,3,13,Home & Garden,668.21,3,0.15442319110674532
523,32,Female,58144,4,5,16,Electronics,923.37,0,0.3061107414724246
524,47,Other,100338,13,9,40,Electronics,48.65,1,0.2032712797627125
525,33,Female,90232,19,2,8,Clothing,255.08,1,0.1380159931792823
526,52,Male,133701,64,1,34,Clothing,534.25,2,0.047452897319630524
527,62,Female,117704,37,3,48,Sports,112.11,1,0.16596881932367083
528,23,Female,144577,75,1,9,Clothing,826.02,2,0.07737131903913617
529,57,Male,139366,39,5,50,Sports,34.5,1,0.15508692915443217
530,27,Male,106944,63,1,28,Sports,36.39,1,0.09280729278152425
531,61,Male,92031,44,7,11,Sports,573.31,0,0.04679923047445218
532,19,Male,146165,38,9,45,Home & Garden,819.92,2,0.17928522444670986
533,36,Other,113794,74,1,27,Sports,377.75,1,0.052858838660914585
534,28,Male,121073,44,3,16,Sports,482.35,1,0.14435052346332986
535,46,Other,61090,3,4,3,Sports,213.68,1,0.028380584584656907
536,62,Female,74474,49,2,18,Sports,933.65,0,0.19670162951418455
537,48,Female,57932,70,9,44,Home & Garden,192.46,3,0.1924272902076116
538,39,Male,49970,53,5,24,Groceries,728.58,0,0.10876034765740884
539,27,Male,73823,11,8,23,Electronics,27.4,1,0.13070925807430556
540,36,Male,37595,88,8,49,Groceries,600.48,3,0.10856701503123092
541,33,Female,103063,16,3,4,Electronics,998.51,0,0.18865974224153106
542,69,Other,86860,70,1,1,Clothing,812.25,0,0.09685473593897281
543,68,Female,40478,22,4,46,Groceries,954.91,0,0.2141090029435194
544,66,Female,126893,3,1,32,Clothing,199.17,1,0.17404866566700508
545,23,Female,123168,80,4,19,Clothing,860.95,2,0.186950822415474
546,44,Other,112137,37,7,18,Groceries,769.16,2,0.0665871447418662
547,60,Other,108533,23,9,24,Electronics,506.98,1,0.012887949931890748
548,22,Female,93861,42,6,6,Home & Garden,73.13,1,0.09022762036825326
549,39,Male,30004,32,6,48,Sports,863.47,0,0.18942819585142032
550,53,Male,47499,85,2,45,Sports,338.69,3,0.18750454526990634
551,50,Male,43965,83,3,17,Electronics,83.38,3,0.2616904306853553
552,20,Male,51199,100,5,5,Clothing,889.83,3,0.08637582222115829
553,69,Male,51759,18,9,14,Sports,563.48,0,0.14256159949401606
554,61,Female,54256,78,3,3,Home & Garden,886.44,0,0.0831979097745966
555,66,Other,53345,100,4,22,Sports,221.75,3,0.25771242808336653
556,25,Female,52403,53,1,14,Groceries,73.34,3,0.08184940139578571
557,45,Male,95367,83,5,30,Home & Garden,845.33,2,0.22408454912225187
558,40,Male,62536,84,4,28,Sports,149.07,3,0.268944125704953
559,33,Male,121639,17,7,28,Home & Garden,422.14,1,0.1683413410567205
560,63,Male,82296,61,4,43,Home & Garden,390.89,3,0.009979867539499416
561,61,Other,137276,92,5,8,Groceries,482.77,2,0.0891528242950494
562,18,Male,143235,46,10,31,Groceries,143.75,1,0.10620552598510916
563,23,Male,143899,10,3,47,Groceries,361.81,1,0.14989620516275007
564,56,Other,134923,18,3,31,Electronics,515.16,1,0.11423279222677504
565,68,Other,106635,85,10,30,Electronics,854.95,2,0.24945898378526743
566,29,Male,60262,56,4,27,Clothing,452.32,3,0.11335664660199911
567,22,Other,92601,75,7,49,Electronics,120.76,3,0.07531496188845416
568,45,Female,41917,58,8,5,Home & Garden,870.38,0,0.07882525935437
569,29,Female,59815,43,6,24,Groceries,105.48,3,0.07766745392572375
570,18,Other,94701,69,8,48,Clothing,760.34,2,0.16715688562995754
571,36,Female,31458,40,4,6,Electronics,371.77,3,0.0339192696180993
572,19,Male,134193,95,7,44,Electronics,97.65,1,-0.010093954716242262
573,40,Female,143338,6,8,26,Groceries,491.07,1,0.1103155197055488
574,48,Other,93084,30,7,5,Clothing,480.55,1,0.024894769447794268
575,49,Male,55027,62,2,1,Clothing,962.9,0,0.170742725068408
576,51,Female,149256,96,1,31,Electronics,266.83,1,-0.00383176423110529
577,32,Female,46610,92,5,9,Groceries,409.85,3,0.2799930480664673
578,64,Male,43175,59,10,35,Electronics,363.86,3,0.14172351137486297
579,21,Female,71227,17,10,12,Electronics,101.48,1,0.05755739453156415
580,51,Female,149744,99,1,12,Groceries,215.92,1,0.05832200743630305
581,46,Male,129568,56,10,27,Clothing,766.26,2,0.2794983096978203
582,19,Male,135968,50,4,49,Electronics,174.43,1,0.11683631143184986
583,33,Male,38240,92,3,37,Home & Garden,626.82,3,0.16013778971804074
584,30,Male,114808,23,9,6,Clothing,74.08,1,0.19564459112023977
585,51,Female,37310,6,5,14,Sports,706.18,0,0.2945205639471118
586,62,Other,147903,79,5,22,Electronics,203.15,1,0.039572989186678294
587,20,Other,61541,80,2,14,Groceries,48.5,3,0.15608026104565395
588,47,Other,55753,69,5,40,Home & Garden,772.89,0,0.014560907952151562
589,29,Other,80868,33,6,15,Clothing,865.65,0,0.16244732697999867
590,33,Male,93599,22,4,37,Sports,274.96,1,0.19336938921395772
591,53,Male,108263,21,1,47,Electronics,734.48,0,0.06281711711730527
592,22,Male,100730,4,5,10,Sports,459.58,1,0.08191263050925592
593,62,Female,148501,41,9,32,Sports,980.47,2,0.24291687555506122
594,29,Other,98150,42,9,34,Sports,324.11,1,0.06948485397821284
595,28,Other,61870,100,6,3,Groceries,728.67,3,0.14191438152288496
596,46,Male,73370,2,4,29,Home & Garden,486.5,0,0.09928001960571747
597,50,Male,132598,57,7,21,Home & Garden,930.91,2,0.25158473093074046
598,56,Other,55695,58,7,30,Electronics,435.76,3,0.12646412103287677
599,41,Other,69204,95,4,28,Clothing,936.04,2,0.06694132232146949
600,52,Male,127010,76,8,26,Sports,13.46,1,0.07480892664314176
601,53,Female,137854,33,10,47,Groceries,523.27,2,0.12671257181948709
602,20,Male,145924,64,5,18,Electronics,495.49,1,0.004435095511406508
603,33,Female,53219,33,4,47,Clothing,251.23,3,0.03110123383187724
604,47,Male,64592,25,4,12,Home & Garden,237.34,1,0.051293921724166594
605,18,Female,144275,69,9,27,Electronics,141.72,1,0.07092349204844578
606,39,Male,48641,45,3,46,Home & Garden,415.19,3,0.017455116327074367
607,30,Male,102200,88,5,47,Home & Garden,131.84,3,0.08074460771740373
608,41,Other,67215,34,3,30,Home & Garden,460.25,0,0.09390565471497933
609,53,Other,96499,29,4,5,Electronics,744.11,0,0.1621488504827101
610,23,Female,83912,28,6,31,Home & Garden,98.32,1,0.12998111660304118
611,42,Female,63444,72,4,40,Home & Garden,166.45,3,0.20136029099006367
612,33,Female,38271,39,10,43,Electronics,99.52,3,0.12902709459245362
613,60,Other,53295,73,3,5,Home & Garden,642.3,0,0.0024378263762018415
614,64,Female,116106,5,1,5,Clothing,25.86,1,0.18536760980582828
615,69,Male,141965,98,5,35,Electronics,616.66,2,0.24224910759690713
616,43,Male,38012,55,3,24,Groceries,943.37,0,0.21525200971295133
617,29,Other,83172,51,8,1,Clothing,906.75,0,0.05517116733736107
618,53,Other,62024,13,2,39,Sports,66.6,1,0.09778710774584662
619,29,Other,88288,39,5,50,Groceries,803.87,2,0.04165684814166568
620,53,Other,50215,92,6,48,Sports,814.52,2,0.034741222554646546
621,20,Male,122028,40,3,6,Electronics,777.44,0,0.011398472201093444
622,33,Other,102269,26,8,47,Sports,356.67,1,0.06706898433598246
623,30,Female,97829,99,4,27,Clothing,320.95,3,0.13212241306911712
624,59,Other,66196,37,9,44,Clothing,483.66,2,0.0029256911010176944
625,41,Male,36763,50,5,36,Home & Garden,490.62,3,0.04590662780230146
626,19,Male,138008,8,9,15,Groceries,116.8,1,0.23131070452894473
627,27,Female,96762,22,3,10,Electronics,551.43,1,0.0020154733382290466
628,39,Other,108744,63,2,23,Sports,411.86,1,0.08485115151665397
629,65,Male,84223,83,7,46,Groceries,971.93,2,0.19718794488988414
630,64,Female,145746,76,2,48,Home & Garden,49.06,1,0.06346325133642755
631,47,Female,108766,37,7,38,Groceries,640.55,2,0.1605825215990316
632,29,Female,72125,41,5,31,Sports,507.62,0,0.018270058140968607
633,43,Female,97989,14,6,49,Electronics,886.61,0,0.010141659469585802
634,51,Other,143678,50,8,23,Electronics,916.04,2,0.26772722432114227
635,23,Female,122669,15,3,4,Electronics,248.68,1,0.21193106585689614
636,24,Female,93266,20,1,4,Clothing,636.29,0,0.05681110082781678
637,52,Other,85267,6,5,2,Home & Garden,704.32,0,0.16472400909833018
638,34,Female,60489,95,3,38,Home & Garden,304.86,3,0.24617338499496613
639,68,Male,57700,70,8,46,Groceries,178.21,3,0.13839387371132378
640,57,Male,97035,28,6,42,Home & Garden,741.41,2,0.015674702548067094
641,59,Other,141667,28,4,5,Sports,204.25,1,0.24730621907851524
642,34,Female,114408,38,7,28,Electronics,647.35,2,0.0973513811035462
643,64,Female,92888,2,7,50,Sports,84.98,1,0.1499588602844076
644,54,Male,132403,83,3,2,Sports,45.2,1,0.08404365044366324
645,67,Other,115578,10,1,36,Groceries,646.16,0,0.051071027716788585
646,62,Male,113856,78,6,50,Electronics,720.47,2,0.27940385340789775
647,24,Other,122371,11,2,4,Electronics,838.19,0,0.05769337357620897
648,43,Female,67979,49,2,6,Groceries,420.03,0,0.0020232812971846797
649,27,Male,147360,96,3,26,Sports,26.1,1,0.07733049490122301
650,47,Other,88268,32,8,27,Groceries,686.5,0,0.01463582874404989
651,27,Female,113174,36,3,46,Electronics,499.07,1,0.04237163061272803
652,32,Other,95862,34,6,41,Electronics,65.15,1,0.1620944595902678
653,41,Male,140959,35,7,14,Home & Garden,232.42,1,0.22785504664147166
654,48,Male,82356,97,1,35,Sports,204.55,3,0.15584667083655157
655,45,Other,47989,70,6,9,Groceries,218.77,3,0.2676279089851702
656,33,Other,65142,45,10,42,Clothing,132.6,3,0.07866642040208832
657,27,Male,81110,44,6,8,Electronics,654.05,0,0.07308130988809264
658,61,Male,145578,79,2,34,Clothing,762.06,2,0.2140433358191883
659,35,Other,116378,38,10,11,Clothing,79.27,1,0.15715384995038756
660,54,Female,89035,14,4,11,Sports,138.81,1,0.1813909227197603
661,69,Female,34122,50,4,27,Sports,758.44,0,0.16888978516570743
662,66,Other,38652,40,10,7,Home & Garden,566.59,0,0.02827010491949667
663,30,Female,76658,70,3,32,Groceries,760.27,0,-0.01392755302390149
664,56,Other,30492,47,5,6,Groceries,725.26,0,0.1363042515752722
665,37,Male,105623,26,5,47,Home & Garden,94.79,1,0.22092217240958997
666,31,Other,85972,62,9,25,Sports,914.63,2,0.1393486829826878
667,29,Female,135394,53,9,36,Clothing,30.13,1,0.14337209434418763
668,27,Female,48576,29,7,29,Sports,976.83,0,0.19878011805703344
669,52,Male,87717,79,6,44,Clothing,95.17,3,0.11365140865222152
670,55,Other,59108,36,6,31,Home & Garden,900.16,0,0.2041706888380502
671,34,Male,54274,27,2,17,Home & Garden,954.46,0,0.3077404789003602
672,30,Male,94803,76,6,33,Home & Garden,596.98,2,0.08936039165174549
673,47,Female,40790,36,1,4,Clothing,913.84,0,0.24533923449507186
674,32,Other,41072,14,5,39,Electronics,981.04,0,0.2595226222189767
675,64,Female,67704,12,6,17,Home & Garden,126.15,1,0.08923710055171033
676,64,Female,48169,39,5,33,Groceries,451.86,0,0.07053111720259933
677,51,Female,146159,99,7,38,Groceries,808.89,2,0.3385622695512491
678,63,Other,56374,60,4,45,Home & Garden,943.5,0,0.06810838015921643
679,46,Female,112770,6,10,27,Sports,559.73,1,0.03299339969998683
680,36,Other,106345,98,7,49,Clothing,55.21,3,0.07322810355237187
681,49,Other,115974,95,8,22,Electronics,143.0,3,0.06297311392103724
682,61,Male,136973,27,7,2,Electronics,269.2,1,0.19006201928109126
683,27,Female,89855,54,10,37,Home & Garden,750.51,2,0.17249236339341645
684,42,Male,56378,8,9,18,Clothing,880.45,0,0.23175617207231214
685,37,Male,104041,64,9,49,Home & Garden,117.52,1,6.405778220420017e-05
686,30,Male,115674,78,2,48,Clothing,621.73,2,0.15855644934589633
687,59,Male,65196,22,2,36,Home & Garden,625.33,0,0.2251719091298603
688,30,Male,94970,15,4,11,Sports,250.07,1,0.18578132826121904
689,69,Other,45024,38,5,11,Clothing,830.03,0,0.22711194333125623
690,39,Female,141586,50,4,46,Clothing,659.67,2,0.16078246240575306
691,53,Other,84686,93,8,1,Groceries,109.54,3,0.16011109632532064
692,23,Male,57558,28,6,23,Electronics,800.78,0,0.20415150250565495
693,28,Female,142450,80,3,22,Groceries,471.87,2,0.02805842851175807
694,64,Male,32144,76,2,28,Sports,902.66,0,0.10750869880254683
695,45,Male,53474,79,8,21,Electronics,40.32,3,0.2722676977249777
696,61,Male,89720,4,9,8,Groceries,795.49,0,0.14720582478758612
697,36,Female,114281,99,7,6,Sports,217.78,3,0.09094772589620244
698,33,Other,36577,28,4,1,Electronics,612.54,0,0.1362820896821753
699,55,Other,53164,64,2,19,Clothing,932.41,0,0.19470153002921245
700,31,Male,33604,8,5,2,Electronics,984.15,0,0.2628084610896416
701,31,Male,148121,34,9,32,Groceries,753.49,2,0.16488828191788324
702,26,Female,42499,92,9,50,Electronics,37.57,3,0.22947810217718267
703,26,Female,56466,61,3,12,Home & Garden,358.22,3,0.1564376406929708
704,52,Female,58805,14,2,47,Sports,104.35,1,0.06554481216143489
705,42,Male,49140,23,9,35,Clothing,400.23,0,0.012173978590191077
706,29,Female,102972,68,3,39,Clothing,258.09,1,0.021673208013300835
707,47,Female,128439,42,5,22,Sports,219.02,1,0.2510528808574325
708,68,Male,47482,100,9,49,Clothing,170.56,3,0.14326702889908483
709,44,Female,118123,40,8,31,Clothing,140.52,1,0.20411054324341754
710,43,Female,43545,67,5,41,Electronics,179.71,3,0.2534750233902511
711,43,Other,51398,12,4,26,Sports,117.85,1,0.07294053188686676
712,18,Male,141318,37,6,28,Home & Garden,428.33,1,0.09519875156051096
713,19,Female,76416,26,6,20,Electronics,385.1,1,0.06927085865344661
714,30,Male,100115,54,2,36,Sports,789.67,2,0.031769354620540396
715,43,Other,67912,71,10,35,Electronics,698.03,2,0.06364610594935564
716,48,Female,74273,23,10,46,Sports,626.27,2,0.011983328494839822
717,47,Male,136278,76,10,48,Clothing,233.64,2,0.10885253510833282
718,57,Female,108833,77,3,37,Home & Garden,623.78,2,0.1893078822120926
719,21,Female,119226,21,8,50,Sports,772.63,2,0.12080736457258855
720,69,Other,72651,58,5,30,Electronics,103.11,3,0.059550555226473824
721,27,Male,114848,66,10,38,Groceries,912.58,2,0.2785059001940613
722,45,Male,127989,99,1,42,Home & Garden,683.99,2,0.18838618151085687
723,20,Male,48504,27,3,28,Groceries,658.54,0,0.16263544935420965
724,21,Other,114762,28,3,7,Sports,397.54,1,0.15593611759849949
725,48,Female,108563,3,8,39,Clothing,15.72,1,0.25712098386128607
726,40,Other,105994,39,9,17,Home & Garden,347.21,1,0.12599734382285488
727,18,Other,84764,2,6,49,Home & Garden,348.51,1,0.08700472525299352
728,28,Other,53503,39,5,30,Groceries,591.64,0,0.07726627473951761
729,50,Male,86985,77,8,11,Sports,964.1,2,0.10559651745542986
730,19,Male,85349,77,8,29,Home & Garden,381.04,3,0.11333496095859877
731,53,Female,52855,12,5,33,Groceries,444.09,0,0.15635160268070322
732,29,Other,66264,85,2,8,Electronics,743.3,3,0.04609397915965636
733,49,Male,56707,6,8,29,Electronics,604.53,0,0.20224786104212708
734,23,Other,66886,7,6,40,Electronics,322.64,1,0.05315048158351817
735,38,Other,115537,10,7,25,Clothing,632.99,1,0.03659860934812036
736,52,Female,130875,76,10,14,Clothing,979.39,2,0.25956435453391286
737,28,Male,104971,74,4,10,Clothing,297.17,1,-0.016926449171601285
738,18,Female,136320,52,5,42,Electronics,891.19,2,0.20383583133888825
739,61,Male,113380,27,2,17,Electronics,177.5,1,0.21577469589079523
740,62,Female,119083,18,4,28,Electronics,317.78,1,0.1905199652281217
741,50,Female,50944,24,3,36,Electronics,121.22,1,0.02399970491862505
742,45,Other,30738,38,7,5,Home & Garden,144.0,3,0.14459974684988766
743,64,Male,132277,81,5,30,Sports,505.24,2,0.17850724935941542
744,56,Male,90816,20,10,35,Electronics,808.16,2,0.023273519027572902
745,30,Female,64288,93,9,43,Groceries,825.85,2,0.07271351016093183
746,60,Male,34657,99,10,3,Electronics,983.3,3,0.044523004838776
747,26,Male,44725,40,10,17,Groceries,307.42,3,0.1416908718733208
748,57,Female,58696,69,4,29,Groceries,570.87,3,0.046578477881731674
749,22,Male,73023,30,1,19,Home & Garden,661.7,0,0.13874613489130447
750,41,Other,74985,68,8,21,Electronics,123.96,3,0.17184578301586964
751,63,Male,37201,60,6,46,Groceries,90.96,3,0.17924572932075716
752,31,Male,85928,10,2,40,Home & Garden,34.1,1,0.20161679008220287
753,28,Other,129367,4,1,44,Electronics,559.61,1,0.08019154360676047
754,52,Male,49342,77,7,29,Groceries,622.86,3,0.14264393907270556
755,61,Male,59583,11,8,27,Clothing,744.56,0,0.2242178152053447
756,30,Female,111050,61,10,32,Electronics,213.88,1,0.0333006556261203
757,19,Female,129687,78,3,43,Home & Garden,679.67,2,0.16436249544335502
758,35,Male,94896,36,6,4,Home & Garden,102.23,1,0.1359198439777392
759,64,Other,130443,29,1,17,Home & Garden,835.67,0,0.057401289767276285
760,27,Male,80545,63,6,46,Sports,575.98,2,0.0462835589325273
761,47,Male,112510,1,2,10,Home & Garden,618.2,0,0.02627993032742723
762,57,Male,145190,42,9,8,Sports,971.83,2,0.15374234638497397
763,63,Male,115204,12,2,19,Home & Garden,910.59,0,0.14921588750638143
764,61,Female,116123,96,2,27,Sports,844.95,2,0.18655286039492314
765,40,Other,108344,87,2,13,Electronics,892.28,2,0.0954412517620462
766,41,Other,74198,84,1,50,Clothing,60.51,3,0.10873663313137286
767,45,Other,62582,1,6,46,Clothing,298.11,1,0.00958627377401507
768,33,Other,92798,80,3,44,Groceries,367.85,3,0.04744943510444547
